Doc#	student	project	course	faculty	
1:	1	0	0	0
2:	1	0	0	0
3:	1	0	0	1
4:	1	0	0	0
5:	0	0	1	0
6:	0	0	0	1
7:	1	0	0	1
8:	0	0	0	1
9:	1	0	1	0
10:	0	1	1	0
11:	1	0	1	0
12:	0	0	1	1
13:	1	0	0	0
14:	1	0	0	0
15:	0	0	0	1
16:	0	0	1	1
17:	1	0	1	1
18:	1	0	1	0
19:	0	0	0	1
20:	1	0	0	0
21:	0	1	0	0
22:	0	0	1	0
23:	1	0	1	0
24:	0	0	0	1
25:	0	0	1	1
26:	1	0	0	0
27:	0	0	1	1
28:	0	1	0	0
29:	1	0	1	1
30:	0	0	0	1
31:	1	0	0	0
32:	1	0	0	0
33:	1	1	1	0
34:	1	0	0	0
35:	1	1	0	0
36:	0	0	1	0
37:	0	0	1	0
38:	1	0	0	0
39:	1	0	1	0
40:	1	1	1	0
41:	1	0	1	0
42:	1	0	1	0
43:	1	0	1	1
44:	1	0	1	0
45:	0	0	0	1
46:	1	0	1	1
47:	0	0	1	0
48:	1	1	0	0
49:	0	0	1	0
50:	0	1	0	0
51:	1	0	0	0
52:	0	1	0	0
53:	1	0	0	0
54:	1	0	0	0
55:	0	1	0	0
56:	1	0	1	1
57:	1	0	0	0
58:	1	0	0	0
59:	0	0	0	1
60:	1	1	0	0
61:	0	0	0	1
62:	0	0	1	1
63:	0	0	0	1
64:	1	1	1	0
65:	0	0	1	1
66:	0	1	0	0
67:	1	0	0	0
68:	0	1	1	0
69:	1	1	0	0
70:	0	1	0	0
71:	0	1	0	0
72:	1	0	1	0
73:	1	0	0	0
74:	0	0	0	1
75:	1	0	1	0
76:	1	1	0	0
77:	1	0	0	0
78:	1	1	0	0
79:	1	0	1	0
80:	1	0	0	0
81:	0	1	0	0
82:	1	0	1	0
83:	1	1	1	0
84:	0	0	1	0
85:	0	0	1	0
86:	0	0	1	0
87:	1	0	0	0
88:	0	1	0	0
89:	1	0	1	0
90:	1	0	0	0
91:	0	1	0	0
92:	0	1	1	0
93:	1	0	1	0
94:	0	1	0	0
95:	1	0	1	0
96:	0	0	0	1
97:	0	0	0	1
98:	1	0	1	0
99:	0	0	0	1
100:	1	0	1	0
101:	0	1	0	0
102:	1	0	0	0
103:	0	0	0	1
104:	1	0	0	0
105:	1	0	0	0
106:	1	0	0	0
107:	1	0	0	0
108:	0	0	0	1
109:	0	0	1	1
110:	1	1	0	0
111:	1	0	1	0
112:	0	0	1	0
113:	1	0	1	1
114:	1	0	1	0
115:	1	0	1	0
116:	1	1	1	0
117:	1	0	0	0
118:	0	0	0	1
119:	0	0	1	0
120:	1	1	0	0
121:	1	0	1	0
122:	0	1	1	0
123:	1	0	1	0
124:	1	1	0	0
125:	1	0	0	0
126:	0	0	0	1
127:	1	0	0	0
128:	1	0	0	0
129:	0	0	0	1
130:	1	0	1	0
131:	0	1	1	0
132:	0	0	1	0
